player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
Ndongo N'diaye,C,2000-01,-%,-,-,6' 11.5'',,9' 4.5'',208,7' 3.5'',13.16,-,3.69,24.5,27.5,4
Eduardo Najera,PF-SF,2000-01,-%,-,-,6' 6.5'',,8' 8.5'',234.5,6' 11.5'',11.38,-,3.45,28,35,15
Matthew Nielsen,PF,2000-01,-%,-,-,6' 9'',,8' 10'',223,6' 10.5'',11.28,-,3.35,26,29,3
Chris Porter,SF-PF,2000-01,-%,-,-,6' 5.5'',,8' 7.5'',214,6' 9.5'',10.93,-,3.2,28.5,35,6
Lavor Postell,SG,2000-01,-%,-,-,6' 4.5'',,8' 5.5'',205,6' 8.5'',11.79,-,3.3,33.5,36.5,17
Igor Rakocevic,PG,2000-01,-%,-,-,6' 2.5'',,8' 4'',184,6' 5.25'',10.4,-,3.1,27.5,34,9
Reed Rawlings,SG-SF,2000-01,-%,-,-,6' 6.25'',,8' 8'',218,6' 9.25'',11.1,-,3.27,28.5,33.5,13
Michael Redd,SG-SF,2000-01,-%,-,-,6' 4.75'',,8' 6'',214,6' 9'',12.06,-,3.34,27,31,12
Damon Reed,PF-C,2000-01,-%,-,-,6' 8.5'',,8' 8.5'',228,6' 9.5'',11.21,-,3.31,27.5,31.5,4
Aubrey Reese,PG,2000-01,-%,-,-,5' 10.75'',,7' 10.5'',189,6' 5.5'',11.13,-,3.25,31.5,37.5,14
Terrance Roberson,SF,2000-01,-%,-,-,6' 5.5'',,8' 7.5'',209,6' 8'',11.66,-,-,29,32.5,11
Julius Doc Robinson,PG,2000-01,-%,-,-,6' 0'',,7' 11.5'',184,6' 3.75'',12.54,-,3.41,30,37.5,-
Pepe Sanchez,PG,2000-01,-%,-,-,6' 3'',,8' 0'',194,6' 3.5'',11.62,-,3.44,26,31,8
Matt Santangelo,PG,2000-01,-%,-,-,6' 0'',,7' 10'',177,6' 3'',10.66,-,3.06,33.5,43,12
Alex Scales,SG-PG,2000-01,-%,-,-,6' 2.25'',,8' 1.5'',184.5,6' 9'',10.98,-,3.21,38.5,42.5,10
Karim Shabazz,C,2000-01,-%,-,-,6' 11.5'',,9' 3.5'',224,7' 3'',12.72,-,3.36,24.5,28,2
Nick Sheppard,PF-C,2000-01,-%,-,-,6' 9.5'',,8' 11.5'',273,6' 11'',12.14,-,3.52,23.5,25.5,18
Mike Smith,SF,2000-01,-%,-,-,6' 6.5'',,8' 7'',198,6' 8.5'',11.32,-,3.22,33,21,12
Jabari Smith,PF-C,2000-01,-%,-,-,6' 9.75'',,9' 1.5'',240.5,7' 2.5'',12.45,-,3.43,24.5,30,15
Jarrett Stephens,PF,2000-01,-%,-,-,6' 5.25'',,8' 7'',258,6' 9.25'',11.98,-,3.46,27,29,13
Bootsy Thornton,SG,2000-01,-%,-,-,6' 3.5'',,8' 5.5'',194.5,6' 6.5'',12.08,-,3.33,26.5,31,7
Jaquay Walls,PG,2000-01,-%,-,-,6' 1.25'',,8' 0.5'',165.5,6' 2.5'',10.75,-,3.23,28.5,35.5,-
Jameel Watkins,PF-C,2000-01,-%,-,-,6' 9.5'',,9' 2'',244.5,7' 6'',12.38,-,3.45,28,30.5,11
Adam Allenspach,C,2001-02,12.40%,-,-,6' 11.5'',,8' 11'',259,7' 0.5'',11.9,-,3.4,28.5,31,16
Gilbert Arenas,SG,2001-02,5.30%,-,-,6' 2.25'',,8' 3.5'',199,6' 9.5'',-,-,3.25,31.5,36,12
Brandon Armstrong,SG,2001-02,9.30%,-,-,6' 3.5'',,8' 3.5'',188,6' 9.5'',10.91,-,3.2,30,37,6
Shane Battier,SF-PF,2001-02,9.30%,-,-,6' 8.25'',,8' 9'',229,6' 10.5'',10.95,-,3.3,29.5,33,12
Cookie Belcher,SG-PG,2001-02,5.30%,-,-,6' 3'',,8' 3'',206,6' 8.5'',11.26,-,2.91,35,41.5,7
Charlie Bell,PG,2001-02,6.70%,-,-,6' 2.5'',,8' 1.5'',200,6' 7.5'',10.59,-,3.12,31.5,38,15
Ruben Boumtje-Boumtje,C,2001-02,6.00%,-,-,6' 11.5'',,9' 3'',245,7' 4'',11.84,-,3.33,26.5,31,6
Calvin Bowman,PF,2001-02,8.60%,-,-,6' 8.75'',,8' 8'',214,6' 11.5'',11.96,-,3.21,28.5,34.5,7
Michael Bradley,PF,2001-02,9.30%,-,-,6' 9.5'',,8' 11'',227,7' 1.5'',11.11,-,3.35,27,30,13
Jamison Brewer,PG,2001-02,6.70%,-,-,6' 2.5'',,8' 6.5'',178,6' 8.75'',9.65,-,3.15,26,32.5,12
Kwame Brown,PF-C,2001-02,8.90%,-,-,6' 10'',,9' 0'',243,7' 1'',11.59,-,3.45,30,33,17
SirValiant Brown,PG,2001-02,6.70%,-,-,5' 11'',,7' 8.5'',176,6' 4'',11.23,-,3,31,39.5,10
Damone Brown,SF,2001-02,6.70%,-,-,6' 8.25'',,8' 8.5'',202,6' 11.75'',11.81,-,3.27,32,37,6
Ryan Carroll,SF-SG,2001-02,8.00%,-,-,6' 4'',,8' 3'',202,6' 8.25'',11,-,3.1,34.5,39,14
Tyson Chandler,SF-PF,2001-02,6.70%,-,-,6' 11.5'',,9' 2'',224,7' 3'',12.13,-,3.36,31,33.5,2
Eric Chenowith,C,2001-02,12.90%,-,-,7' 1'',,9' 3'',264,7' 4'',12.5,-,3.59,23.5,27.5,6
Sam Clancy,PF,2001-02,8.00%,-,-,6' 6.25'',,8' 11'',242,7' 2.75'',11.47,-,3.13,31,34,15
Gyasi Cline-Heard,PF,2001-02,8.00%,-,-,6' 6.25'',,8' 7'',231,6' 11.5'',11.4,-,3.23,31.5,34.5,11
Jason Collins,PF-C,2001-02,12.90%,-,-,6' 10.25'',,9' 2'',251,7' 4.5'',12.1,-,3.54,25.5,28.5,8
Jarron Collins,C-PF,2001-02,15.20%,-,-,6' 9.25'',,8' 8'',252,7' 3'',11.65,-,3.6,23,29,10
Omar Cook,PG,2001-02,5.50%,-,-,5' 11.5'',,7' 8'',189,6' 5.5'',10.77,-,3.2,31,35.5,9
Eddy Curry,C,2001-02,16.50%,-,-,6' 10.5'',,9' 3'',301,7' 6.5'',12.25,-,3.53,28,31,16
Tate Decker,SF,2001-02,13.60%,-,-,6' 9.25'',,8' 11'',218,6' 11.75'',12.19,-,3.47,25.5,28.5,13
DeSagana Diop,C,2001-02,21.00%,-,-,6' 10'',,9' 5'',314,7' 6.5'',12.37,-,3.56,21.5,25.5,15
Robb Dryden,C,2001-02,8.00%,-,-,7' 1'',,9' 2.25'',241,7' 2.5'',12.47,-,3.46,27,30,8
Anthony Evans,PF,2001-02,12.90%,-,-,6' 6'',,8' 5.5'',267,6' 11.5'',12.56,-,3.31,31.5,33,18
Maurice Evans,SG,2001-02,4.00%,-,-,6' 4.25'',,8' 5'',221,6' 8'',10.08,-,3.12,34.5,37.5,22
Benjamin Eze,C-PF,2001-02,3.90%,-,-,6' 8.75'',,9' 1'',232,7' 6'',13.05,-,3.36,29,32,14
Kimani Ffriend,C-PF,2001-02,11.70%,-,-,6' 9.5'',,9' 0.5'',228,6' 10.75'',11.46,-,3.09,32,33,9
Alton Ford,PF,2001-02,8.00%,-,-,6' 8.25'',,8' 6.5'',271,6' 10.5'',11.7,-,3.16,34.5,36.5,21
Joseph Forte,SG,2001-02,-%,-,-,6' 3.5'',,8' 4.5'',193,6' 6.5'',11.51,-,3.19,26.5,33,10
Jason Gardner,PG,2001-02,8.00%,-,-,5' 9.75'',,7' 8.5'',188,6' 1.25'',10.88,-,2.92,34.5,40,9
Jerry Green,PG-SG,2001-02,5.50%,-,-,6' 1.5'',,8' 3'',179,6' 6.25'',11.7,-,3.17,28.5,35,13
Kenny Gregory,SF,2001-02,6.70%,-,-,6' 3.5'',,8' 5'',200,6' 11.25'',11.33,-,3.1,39.5,45.5,10
Eddie Griffin,PF-SF,2001-02,4.00%,-,-,6' 9.25'',,9' 2'',222,7' 3'',11.77,-,3.21,26.5,33,3
Trenton Hassell,SG-SF,2001-02,5.30%,-,-,6' 4.25'',,8' 3.5'',205,6' 8'',11.57,-,3.29,35.5,37.5,12
Kirk Haston,PF-SF,2001-02,10.50%,-,-,6' 8'',,8' 10'',242,7' 0.25'',12.25,-,3.35,27,31.5,11
